PC1,PC2
0.0923253,-0.62228
0.120271,-0.188628
-0.21822,-0.543052
-0.0105149,-0.621428
-0.287169,-0.526014
-0.422007,-0.487253
-0.181511,-0.556685
0.026194,-0.63506
-0.18622,-0.563503
0.0812572,-0.655509
0.0323134,-0.625695
0.303906,-0.703065
0.415682,-0.741827
0.357053,-0.723664
0.782766,0.846029
1.06482,0.877924
0.666192,-0.230857
0.811839,-0.74234
0.989952,-0.597382
1.61485,0.952326
1.16871,-0.886348
2.0468,1.5935
2.02177,1.36033
1.79491,0.0486933
2.24527,2.03031
1.46642,-0.0805069
1.12754,-0.154178
1.81769,2.12913
1.22962,1.09733
1.19772,1.24609
0.861966,0.665319
0.716396,0.9182
0.677585,1.70478
0.00760427,2.58119
-0.784673,0.351004
-1.10649,-0.331063
-0.939565,0.718556
-1.13713,0.0160465
-1.09405,-0.158848
-1.34629,-0.311355
-1.34629,-0.311355
-1.36935,-0.311357
-1.37853,-0.307949
-1.41077,-0.304543
-1.41077,-0.304543
-1.39241,-0.311359
-1.35099,-0.318174
-0.870024,0.6937
-0.877149,0.350271
-1.00185,-0.391854
-1.25874,-0.318165
-0.773398,0.555174
-0.884112,-0.274637
0.10407,3.38326
-0.910061,0.249506
-0.511751,1.70184
-0.0109715,3.2464
-0.751438,0.177343
-0.217569,1.45552
-0.499001,1.48131
-1.03677,0.0380439
-0.567803,1.85967
-0.6761,1.36647
-0.242793,2.41884
-0.630821,-0.0101806
-0.560031,0.333529
0.0326313,1.88664
-0.480575,-0.000351277
-0.305985,0.122154
0.301812,2.04724
0.811052,2.74328
0.540035,0.786277
1.23007,2.70555
0.997819,0.94521
0.872831,-0.266379
0.969378,-0.805425
1.69076,1.69754
1.87178,2.04299
1.87302,1.60124
1.96002,2.15667
2.26773,2.7326
2.32783,2.86432
1.23069,-0.682638
1.31966,0.105949
1.47317,-0.28318
1.9524,2.84421
1.62361,2.18003
1.56591,1.91234
1.07912,1.15861
1.32298,2.28796
0.922765,0.412078
1.26996,2.60437
0.807357,0.94288
1.31144,2.40718
0.478603,0.833122
-0.0522082,-0.457826
-0.336631,-0.373913
-0.14728,-0.445472
-0.474529,-0.339835
-0.488767,-0.318383
-0.561832,-0.31598
-0.742557,-0.260179
-0.901318,-0.211618
-0.683336,-0.286159
-0.692513,-0.282751
-0.631332,-0.311291
-0.997799,-0.184355
-0.883515,-0.230784
-1.06358,-0.120001
-1.04588,-0.1818
-0.970818,-0.206929
-1.35117,-0.0834037
-1.19547,-0.136647
-1.04894,-0.186482
-1.08118,-0.183076
-1.27524,-0.118336
-1.28246,-0.117487
-1.05334,-0.197996
-0.979924,-0.225262
-0.796691,-0.288729
-0.672679,-0.326217
-0.548666,-0.363705
-0.290367,-0.452303
-0.521135,-0.373929
-0.334842,-0.432715
-0.0259475,-0.531535
0.171482,-0.596288
0.304672,-0.637184
0.686984,-0.763269
0.847394,-0.809694
0.856571,-0.813102
0.638744,-0.698639
1.37098,-0.96987
1.4357,-0.959637
1.76796,-1.06315
1.97069,-0.722962
2.13903,-0.566779
2.1025,-1.00484
2.3969,-0.929038
2.50685,0.14088
2.36683,-0.655255
2.3839,-0.774745
2.82332,0.26953
2.72756,-0.395732
2.6747,-1.01992
3.41678,1.42864
2.83739,-0.178754
2.6865,-1.29231
2.82911,-1.31957
2.83158,-1.22253
2.4901,-1.18111
2.20372,-1.09464
2.0399,-1.02804
1.93012,-1.012
1.77044,-0.865251
1.76014,-0.37747
1.8607,2.28197
2.05927,2.76142
1.53945,1.10318
0.796226,-0.116213
0.598992,-0.67337
0.365164,-0.599679
0.357395,-0.61118
0.121368,-0.551975
-0.0452471,-0.492039
-0.121174,-0.457107
-0.291776,-0.437393
-0.154428,-0.48382
-0.337662,-0.420352
-0.44026,-0.384998
-0.476969,-0.371365
-0.509209,-0.367959
-0.31319,-0.43526
-0.300953,-0.433985
